REF. OBJET;PERIODE;PRIME ;PUISS.OBJET;MARQUE.OBJET;USAGE;VALEUR ASSURE;AGE.CONDUCTEUR;AGE.OBJET;SINISTRALITE;NATURE.SIN;DATE.SIN;MONTANT REMBOURSE;SIN.2021
4509TU108;364;367 766;5;RENAULT;1;10 000 000;46;19;0;;;0;0
1140TU194;180;271 596;8;VOLKSWAGEN;1;10 000 000;43;23;0;BG;24/01/2021;360 000;1
654TU160;364;864 266;5;RENAULT ;4;15 000 000;57;10;0;;;0;0
RS200896;364;1 586 220;6;RENAULT;1;50 000 000;18;3;0;;;0;0
9506TU116;180;348 716;7;VOLKSWAGEN;1;10 000 000;65;20;0;;;0;0
2718TU116;180;711 708;5;RENAULT;4;10 000 000;25;17;0;;;0;0
8379TU179;29;130 100;6;PEUGEOT;1;10 000 000;42;14;0;;;0;0
4112TU219;180;621 984;6;VOLKSWAGEN;1;65 000 000;52;10;0;;;0;0
4050TU218;180;586 676;5;VOLKSWAGEN;1;60 000 000;54;7;1;;;0;0
7123TU164;180;314 516;6;PEUGEOT;1;10 000 000;14;33;0;;;0;0
9005TU208;364;4 141 000;8;KIA;1;112 500 000;2;3;0;;;0;0
8935TU208;180;620 090;4;FIAT;1;44 000 000;37;3;0;;;0;0
RS65156;364;632 732;8;KIA;1;10 000 000;64;24;0;;;0;0
7408TU45;180;308 793;5;FORD;1;8 000 000;34;37;0;;;0;0
8793TU142;180;382 183;7;CITROEN;3;13 000 000;30;12;0;;;0;0
5700TU106;180;390 399;7;PEUGEOT;3;8 000 000;33;24;0;;;0;0
4251TU114;180;327 519;7;CITROEN;3;8 000 000;21;30;0;;;0;0
9357TU219;364;842 880;8;VOLKSWAGEN;1;50 000 000;42;9;0;;;0;0
1852TU89;364;567 852;10;ISUZU;3;10 000 000;12;23;0;;;0;0
4507TU115;180;309 904;4;RENAULT;1;15 000 000;57;19;0;;;0;0
9334TU135;364;809 890;5;RENAULT;4;10 000 000;48;16;1;;;0;0
5801TU163;364;456 028;5;CITROEN;1;15 000 000;62;13;0;;;0;0
7131TU117;180;274 527;5;RENAULT;1;17 000 000;34;17;0;;;0;0
717TU111;179;388 453;5;PEUGEOT;1;10 000 000;42;21;0;;;0;0
2103TU130;180;394 169;7;FORD;3;8 000 000;37;18;0;;;0;0
6376TU27;364;613 475;8;PEUGEOT;3;8 000 000;56;46;1;IDA;20/01/2021;1 200 000;1
BC21272;43;252 868;7;ISUZU;3;8 000 000;44;5;0;;;0;0
8906TU97;180;440 358;10;ISUZU;3;20 000 000;48;21;0;;;0;0
48TU180;364;456 548;7;ROVER;1;15 000 000;39;22;0;;;0;0
2383TU103;364;535 224;8;PEUGEOT;14;10 000 000;75;42;0;;;0;0
5527TU143;364;767 032;6;CITROEN;3;15 000 000;38;12;0;;;0;0
2989TU129;180;310 113;4;SMART;1;13 500 000;39;17;0;;;0;0
RS213156;364;1 430 620;9;BMW;1;50 000 000;26;6;0;;;0;0
3724TU119;364;646 338;5;RENAULT;1;12 000 000;54;17;0;;;0;0
RS213322;364;837 054;12;VOLKSWAGEN;1;60 000 000;47;6;0;;;0;0
419TU158;180;531 386;7;CITROEN ;3;15 000 000;31;10;0;;;0;0
1NCF893;29;182 305;7;CITROEN;3;10 000 000;35;6;0;;;0;0
4632TU113;180;956 917;6;PEUGEOT;4;10 000 000;57;18;0;;;0;0
2847TU128;180;347 524;5;RENAULT;1;15 000 000;31;18;0;;;0;0
8947TU79;180;236 016;4;VOLKSWAGEN ;1;16 000 000;50;21;0;;;0;0
9338TU109;180;329 904;4;CITROEN;1;15 000 000;40;19;0;;;0;0
218TU42;364;827 839;12;O.M ;3;8 000 000;45;45;0;;;0;0
4281TU103;180;314 516;5;TOYOTA;1;20 000 000;40;26;0;;;0;0
3683TU199;364;847 972;5;VOLKSWAGEN;1;35 000 000;34;5;0;;;0;0
2375TU158;180;385 442;6;DACIA;3;10 000 000;51;10;0;;;0;0
4302TU119;364;496 348;5;RENAULT;1;15 000 000;37;17;0;BG;19/08/2021;390 915;1
6894TU36;364;623 564;8;ISUZU ;14;10 000 000;40;40;0;;;0;0
RS202391;180;842 608;6;KIA ;1;80 000 000;41;5;0;;;0;0
4599TU220;364;3 092 300;10;MERCEDES-BENZ;1;200 000 000;42;4;0;;;0;0
3871TU158;180;431 634;8;ISUZU;3;10 000 000;63;10;0;;;0;0
817TU45;180;344 073;5;FORD;1;8 000 000;46;37;0;BG;08/12/2021;360 000;1
3529TU155;180;689 696;0;TUNICOM;3;10 000 000;14;7;1;;;0;0
7221TU97;180;248 516;7;MERCEDES-BENZ;1;10 000 000;22;21;0;;;0;0
5730TU139;364;636 063;8;FORD;1;14 000 000;60;18;1;;;0;0
8486TU220;180;395 728;6;KIA;1;30 000 000;55;7;0;;;0;0
8083TU113;364;894 908;7;PEUGEOT ;1;10 000 000;52;18;0;;;0;0
2332TU137;364;1 001 074;17;ISUZU;3;10 000 000;50;13;2;;;0;0
ES14239;364;550 708;20;FIAT KOBELCO;9;10 000 000;22;17;1;;;0;0
8559TU155;180;422 748;7;VOLKSWAGEN;1;30 000 000;34;12;0;;;0;0
3116TU173;180;400 364;4;VOLKSWAGEN;1;48 700 000;27;21;0;;;0;0
6306TU93;364;536 492;10;ISUZU;3;10 000 000;75;22;0;;;0;0
8588TU220;180;1 182 728;8;ISUZU;3;56 900 600;32;1;0;;;0;0
RS213531;364;665 364;4;RENAULT;1;20 000 000;24;6;0;;;0;0
9466TU220;364;1 814 653;6;DACIA;3;42 650 000;2;1;1;;;0;0
1424TU206;180;628 462;8;ISUZU;3;30 000 000;37;4;0;;;0;0
2042TU78;180;254 593;4;PEUGEOT ;1;8 000 000;49;26;0;;;0;0
2172TU76;180;309 873;4;FIAT ;1;8 000 000;31;26;0;;;0;0
6717TU187;364;1 830 980;7;MERCEDES-BENZ;1;100 000 000;42;6;1;;;0;0
208TU149;180;419 451;7;PEUGEOT;3;8 500 000;34;15;0;;;0;0
9328TU181;180;283 112;5;PEUGEOT;1;20 000 000;47;7;0;;;0;0
1372TU142;180;957 765;9;MAZDA;4;10 000 000;44;12;0;;;0;0
8194TU88;364;577 938;4;RENAULT;1;12 000 000;26;23;0;;;0;0
343TU95;180;280 316;4;PEUGEOT ;1;10 000 000;28;22;0;;;0;0
9961TU173;364;597 057;5;SEAT ;1;24 000 000;45;8;0;;;0;0
2634TU124;180;328 573;5;RENAULT;1;8 000 000;31;16;0;;;0;0
9141TU220;364;790 619;5;HYUNDAI;1;51 950 001;38;1;0;;;0;0
7807TU179;364;601 278;4;FIAT;1;18 000 000;35;7;0;;;0;0
8112TU200;180;317 304;4;KIA ;1;15 000 000;30;5;0;;;0;0
2924TU131;180;394 169;10;FORD;3;8 000 000;35;14;0;;;0;0
9493TU220;364;1 241 389;5;HYUNDAI;1;46 500 000;34;1;0;;;0;0
3999TU94;364;463 985;4;RENAULT ;1;14 000 000;38;22;0;;;0;0
219TU221;364;3 772 248;8;KIA;1;98 980 000;42;1;0;;;0;0
3948TU131;364;334 006;4;FIAT;1;12 000 000;66;14;0;;;0;0
3982TU153;364;663 508;5;VOLKSWAGEN;1;15 000 000;49;10;0;;;0;0
4025TU75;180;228 993;5;PEUGEOT;1;12 000 000;33;27;0;BG;03/07/2021; 233 478?;1
RS179926;364;655 018;13;LINDE;9;10 000 000;54;25;1;IDA;19/07/2021;6 900 929;1
